efgroup,species,ef
2,3-Methylpentane,0.018
2,3-Methylstyrene,0.015
2,3-Pentanone,0.026
2,4-Methylstyrene,0.008
2,Acetaldehyde,0.953
2,Acetic Acid,2.42
2,Acetone,0.37
2,Acetonitrile,0.3
2,Acrolein,0.291
2,Acrylic Acid,0.04
2,Acrylonitrile,0.029
2,Benzaldehyde,0.233
2,Benzene,0.55
2,Benzenenitrile,0.053
2,Benzofuran,0.115
2,Butenyne,0.003
2,C10H14 non-aromatic,0.003
2,C11 Aromatics,0.117
2,CH4,3.38
2,CO,95
2,CO2,1641
2,Camphene,0.024
2,Crotonaldehyde,0.252
2,Cyclohexene,0.002
2,Cyclopentane,0.003
2,Cyclopentanone,0.12
2,Cyclopentene,0.027
2,Cyclopentenedione,0.01
2,Cyclopentenone,0.005
2,D-Limonene,0.083
2,Divinylacetylene,0.002
2,Ethane,0.61
2,Ethanol,0.027
2,Ethene,1.31
2,Ethyl Formate,0.007
2,Ethyl Xylene_i1,0.008
2,Ethyl Xylene_i2,0.004
2,Ethylbenzene,0.025
2,Ethylstyrene,0.003
2,Ethyne,0.237
2,Ethynyl Benzene,0.005
2,Formaldehyde,1.975
2,FormicAcid,0.47
2,Furan,0.28
2,Glycolaldehyde,0.506
2,Glycolic Acid,0.039
2,Heptadiyne_i1,0.001
2,Heptadiyne_i2,0
2,Hexenes,0.056
2,Hexenyne,0.003
2,Hydrogen Cyanide,0.89
2,Indane,0.006
2,Indene,0.017
2,Isobutylbenzene,0.007
2,Isocyanic Acid,0.126
2,Isoprene,0.074
2,Isopropylbenzene,0.005
2,Methacrolein,0.043
2,Methanol,1.305
2,Methyl Acetate,0.148
2,Methyl Acrylate,0.007
2,Methyl Diazine_i2,0.005
2,Methyl Diazine_i3,0.003
2,Methyl Ethyl Ketone,0.11
2,Methyl Formate,0.019
2,Methyl Propanoate,0.004
2,Methyl Vinyl Ketone,0.097
2,Methyl-n-Propylbenzene,0.007
2,MethylButanoate,0.015
2,MethylCyclopentadiene_i1,0.008
2,MethylCyclopentadiene_i2,0.008
2,MethylDiazine_i1,0.012
2,MethylMethacrylate,0.03
2,Methylbenzofuran,0
2,Methylbenzofuran_i1,0.011
2,Methylbenzofuran_i2,0.02
2,Methylbenzofuran_i3,0.028
2,Monoterpenes,0.351
2,Myrcene,0.004
2,NH3,0.79
2,NMOC,23.152
2,NOx,1
2,Naphthalene,0.277
2,Nonadiene,0.003
2,Nonane,0.012
2,Octadiene,0.024
2,Other C6H10,0.004
2,PM10,25.37
2,PM2.5,21.5
2,Pentadieneisomer,0.003
2,Pentenone,0.44
2,Pentenyneisomers,0.002
2,Phenol,0.473
2,Propanal,0.123
2,Propane,0.23
2,Propanenitrile,0.01
2,Propylene,0.445
2,Propyne,0.029
2,Pyrrole,0.009
2,Pyruvic Acid,0.019
2,Resorcinol,1.402
2,SO2,1.06
2,Sesquiterpenes,0.07
2,Styrene,0.059
2,Terpinolene,0.004
2,Tetrahydrofuran,0
2,Toluene,0.24
2,Vinyl Acetate,0
2,alpha-Methylstyrene,0.003
2,alpha-Pinene,0.81
2,beta-Pinene,0.72
2,cis-1_3-Hexadiene,0.002
2,cis-1_3-Pentadiene,0.014
2,cis-2-Butene,0.015
2,cis-2-Hexene,0.018
