regionname,efgroupname,phase,species,EF,SD,n,citeShort
SE,shrubland,average,CO2,1675.4863924,16.6305288112013,5.0,"Urbanski et al., 2009"
SE,shrubland,average,NH3,1.40714285714286,1.4040621340206,7.0,"Burling et al., 2011, Hegg et al., 1989"
SE,shrubland,average,NOx,1.97125,1.20341701001772,8.0,"Burling et al., 2011, Gkatzelis et al., 2023, Lindaas et al., 2020"
SE,shrubland,average,PM2.5,12.0268024736,4.24863346457511,5.0,"Urbanski et al., 2009"
SE,shrubland,average,SO2,0.744333333333333,0.597622511847292,6.0,"Burling et al., 2010, McMeeking et al., 2009"
SE,shrubland,flaming,NH3,1.612,1.56507827280299,5.0,"Burling et al., 2011"
SE,shrubland,flaming,SO2,0.6732,0.639133162963713,5.0,"Burling et al., 2010, McMeeking et al., 2009"
W,conifer forest,average,CH4,6.10668161915789,2.14003743303231,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,average,CO,119.556682212316,30.3854498760457,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,average,CO2,1610.38850872632,55.5569291889316,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,average,NH3,1.324,0.59078760989039,5.0,"Burling et al., 2011, Hegg et al., 1989"
W,conifer forest,average,NOx,1.544625,1.15299968250522,8.0,"Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017"
W,conifer forest,average,PM2.5,14.4056052015556,5.55244732104649,27.0,"Aurell et al., 2021, Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009"
W,conifer forest,average,SO2,1.34047980769231,0.622438750562594,52.0,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018"
W,conifer forest,flaming,CH4,4.11373532607895,1.26763843348098,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,flaming,CO,90.0353298571053,20.3010582916212,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,flaming,CO2,1647.62101442105,55.0629117508844,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,flaming,NH3,1.09,0.197989898732233,2.0,"Burling et al., 2011"
W,conifer forest,flaming,NOx,1.7125,1.31426468668479,4.0,"Burling et al., 2011, Liu et al., 2017"
W,conifer forest,flaming,PM2.5,13.1996024123636,5.24753946006753,22.0,"Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009"
W,conifer forest,flaming,SO2,1.31653020408163,0.560985344206549,49.0,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018"
W,conifer forest,smoldering,CH4,7.60386929870909,1.17754828352863,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,smoldering,CO,140.755314101818,15.268031106958,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,smoldering,CO2,1583.89654147273,39.8437964093186,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,conifer forest,smoldering,NH3,1.84,0.0,1.0,"Burling et al., 2011"
W,conifer forest,smoldering,NOx,1.0785,1.43047701834039,2.0,"Burling et al., 2011, Liu et al., 2017"
W,conifer forest,smoldering,PM2.5,19.712017474,3.55364525740917,5.0,"Aurell et al., 2021, Burling et al., 2011, Urbanski et al., 2009"
W,conifer forest,smoldering,SO2,1.73165666666667,1.44325112216597,3.0,"Liu et al., 2017, Selimovic et al., 2018"
W,grassland,average,CH4,4.82666666666667,1.3134813791346,3.0,"Gkatzelis et al., 2023"
W,grassland,average,CO,92.0,16.8226038412607,3.0,"Gkatzelis et al., 2023"
W,grassland,average,CO2,1563.33333333333,76.0087714236543,3.0,"Gkatzelis et al., 2023"
W,grassland,average,NH3,1.19333333333333,0.646709620566552,3.0,"Gkatzelis et al., 2023"
W,grassland,average,NOx,1.01333333333333,0.26006409466386,3.0,"Gkatzelis et al., 2023"
W,grassland,average,PM2.5,12.0752204028,5.23981130466625,10.0,"Aurell et al., 2015, Urbanski et al., 2009"
W,grassland,average,SO2,1.25678,1.00947750940771,5.0,"McMeeking et al., 2009, Selimovic et al., 2018"
W,mixed forest,average,CH4,6.10668161915789,2.14003743303231,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,average,CO,119.556682212316,30.3854498760457,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,average,CO2,1610.38850872632,55.5569291889316,95.0,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,average,NH3,1.324,0.59078760989039,5.0,"Burling et al., 2011, Hegg et al., 1989"
W,mixed forest,average,NOx,1.544625,1.15299968250522,8.0,"Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017"
W,mixed forest,average,PM2.5,14.4056052015556,5.55244732104649,27.0,"Aurell et al., 2021, Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009"
W,mixed forest,average,SO2,1.34047980769231,0.622438750562594,52.0,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018"
W,mixed forest,flaming,CH4,4.11373532607895,1.26763843348098,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,flaming,CO,90.0353298571053,20.3010582916212,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,flaming,CO2,1647.62101442105,55.0629117508844,38.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,flaming,NH3,1.09,0.197989898732233,2.0,"Burling et al., 2011"
W,mixed forest,flaming,NOx,1.7125,1.31426468668479,4.0,"Burling et al., 2011, Liu et al., 2017"
W,mixed forest,flaming,PM2.5,13.1996024123636,5.24753946006753,22.0,"Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009"
W,mixed forest,flaming,SO2,1.31653020408163,0.560985344206549,49.0,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018"
W,mixed forest,smoldering,CH4,7.60386929870909,1.17754828352863,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,smoldering,CO,140.755314101818,15.268031106958,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,smoldering,CO2,1583.89654147273,39.8437964093186,55.0,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013"
W,mixed forest,smoldering,NH3,1.84,0.0,1.0,"Burling et al., 2011"
W,mixed forest,smoldering,NOx,1.0785,1.43047701834039,2.0,"Burling et al., 2011, Liu et al., 2017"
W,mixed forest,smoldering,PM2.5,19.712017474,3.55364525740917,5.0,"Aurell et al., 2021, Burling et al., 2011, Urbanski et al., 2009"
W,mixed forest,smoldering,SO2,1.73165666666667,1.44325112216597,3.0,"Liu et al., 2017, Selimovic et al., 2018"
W,shrubland,average,CH4,3.72076923076923,1.39823377598587,13.0,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Hardy 1996"
W,shrubland,average,CO,77.3346153846154,18.4921310361032,13.0,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Hardy 1996"
W,shrubland,average,CO2,1623.23076923077,93.4655942456491,13.0,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Hardy 1996"
W,shrubland,average,NH3,1.54777777777778,1.18260071217822,9.0,"Burling et al., 2011, Nance et al., 1993, Lindaas et al., 2020"
W,shrubland,average,NOx,1.97125,1.20341701001772,8.0,"Burling et al., 2011, Gkatzelis et al., 2023, Lindaas et al., 2020"
W,shrubland,average,PM2.5,11.087,5.52669089258864,10.0,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Garofalo et al., 2019, Hardy 1996"
W,shrubland,average,SO2,0.731158888888889,0.280044832212126,27.0,"Burling et al., 2010, McMeeking et al., 2009, Selimovic et al., 2018"
W,shrubland,flaming,SO2,0.7456516,0.283075722815174,25.0,"Burling et al., 2010, McMeeking et al., 2009, Selimovic et al., 2018"
W,shrubland,smoldering,SO2,0.55,0.212132034355964,2.0,"McMeeking et al., 2009"
