g/kg,,Urbanski + Liu (1-8),,,,,,,,Revised (9-32),,,,,,,,,,,,,,,,,,,,,,,,,,
,,SE pine,Boreal,Rx NW Conifer,WF NW Conifer,W Shrub,Grass,Residual CWD,Residual Duff,SE grass F/S,SE Grass F,SE Grass S,SE Hdwd F/S,SE Hdwd F,SE Hdwd S,SE Pine F/S,SE Pine F,SE Pine S,SE Shrub F/S,SE Shrub F,SE Shrub S,W MC F/S,W MC F,W MC S,W Grass F/S,W Grass F,W Grass S,W Hdwd F/S,W Hdwd F,W Hdwd S,W Shrub F/S,W Shrub F,W Shrub S,Boreal F/S,Boreal F,Boreal S
cis-2-Butene,C4H8,0.028,0.015,0.038,0.0067,0.0147,0.0147,0.089,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,
cis-2-Hexene,C6H12,0.013,0.018,0.021,,0.0147,0.0147,0.041,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
cis-2-Pentene,C5H10,0.009,0.037,0.043,,0.0315,0.0315,0.021,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotonaldehyde,C4H6O,0.181,0.252,0.296,,0.182,0.182,0.588,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclohexene,C6H10,0.009,0.013,0.015,,0.0116,0.0116,0.031,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclohexene,C6H12,0.001,0.002,0.002,,0.00175,0.00175,0.004,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentane,C5H10,0.002,0.003,0.004,,0.0008,0.0008,0.007,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentanone,C5H8O,0.087,0.12,0.141,,0.0834,0.0834,0.281,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentene,C5H8,0.045,0.027,0.032,,0.0406,0.0406,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentenedione,C5H4O2,0.007,0.01,0.012,,0.00685,0.00685,0.023,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentenone,C5H6O,0.004,0.005,0.006,,0.0748,0.0748,0.013,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Limonene,C10H16,0.06,0.083,0.097,,0.0249,0.0249,2.647,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divinylacetylene,C6H6,0.002,0.002,0.003,,0.0068,0.0068,0.005,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethane,C2H6,0.288,0.61,0.665,0.72,0.48,0.48,2.723,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol,CH3CH2OH,0.012,0.027,0.239,,0.0553,0.0553,0.019,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethene,C2H4,1.09,1.31,1.381,0.91,1.01,1.01,1.398,1.4645,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl Formate,C3H6O2,0.005,0.007,0.009,,0.0126,0.0126,0.017,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl Xylene_i1,isomer1_C10H14,0.006,0.008,0.009,,0.0063,0.0063,0.018,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl Xylene_i2,isomer2_C10H14,0.003,0.004,0.005,,0.0041,0.0041,0.01,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethylbenzene,C8H10,0.039,0.025,0.056,0.026,0.0401,0.0401,0.111,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethylstyrene,C10H12,0.002,0.003,0.004,,0.00435,0.00435,0.008,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyne,C2H2,0.362,0.237,0.312,0.24,0.213,0.213,0.207,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethynyl Benzene,C8H6,0.004,0.005,0.006,,0.0526,0.0526,0.072,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formaldehyde,HCHO,1.681,1.975,2.235,2.29,1.33,1.33,2.124,2.4765,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormicAcid,HCOOH,0.116,0.47,0.184,,0.0775,0.0775,0,1.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furan,C4H4O,0.178,0.28,0.49,0.51,0.302,0.302,0.855,1.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-Terpinene,C10H16,0.001,0.001,0.002,,0.00535,0.00535,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycolaldehyde,C2H4O2,0.305,0.506,0.725,,0.199,0.199,0,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycolic Acid,C2H4O3,0.028,0.039,0.046,,0.00455,0.00455,0.091,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heptadiyne_i1,isomer1_C7H8,0.001,0.001,0.002,,0.00205,0.00205,0.003,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heptadiyne_i2,isomer2_C7H8,0,0,0,,0.0024,0.0024,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexenes,sum3isos_C6H12,0.04,0.056,0.066,,0.0571,0.0571,0.13,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexenyne,C6H8,0.002,0.003,0.004,,0.0062,0.0062,0.008,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Cyanide,HCN,0.613,0.89,0.765,0.34,0.749,0.749,0.723,1.988,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-Butane,C4H10,0.01,0.021,0.09,0.016,0.0214,0.0214,0.069,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-Pentane,C5H12,0.028,0.019,0.041,0.01,0.00865,0.00865,0.03,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indane,C9H10,0.004,0.006,0.007,,0.0087,0.0087,0.013,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indene,C9H8,0.012,0.017,0.02,,0.0305,0.0305,0.04,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso-Limonene,C10H16,0.003,0.005,0.006,,0.0003,0.0003,0.011,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isobutylbenzene,C10H14,0.005,0.007,0.008,,0.00505,0.00505,0.017,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isocyanic Acid,HNCO,0.09,0.126,0.147,,0.0815,0.0815,0.293,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoprene,C5H8,0.14,0.074,0.096,0.038,0.0465,0.0465,0.374,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopropylbenzene,C9H12,0.001,0.005,0.006,,0.0061,0.0061,0.006,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m,p-Xylenes",C8H10,0.08,0.06,0.144,0.086,0.0692,0.0692,0.286,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methacrolein,C4H6O,0.039,0.043,0.064,,0.0426,0.0426,0.081,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanol,CH3OH,0.986,1.305,2.515,2.45,1.35,1.35,3.517,4.6775,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Acetate,C3H6O2,0.007,0.148,0.174,,0.259,0.259,0.069,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Acrylate,C4H6O2,0.005,0.007,0.008,,0.00845,0.00845,0.015,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Diazine_i2,isomer2_C5H6N2,0.004,0.005,0.006,,0.00925,0.00925,0.011,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Diazine_i3,isomer3_C5H6N2,0.002,0.003,0.003,,0.0022,0.0022,0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Ethyl Ketone,MEK_C4H8O,0.098,0.11,0.175,,0.105,0.105,0.323,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Formate,C2H4O2,0.014,0.019,0.022,,0.0732,0.0732,0.044,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Propanoate,C4H8O2,0.003,0.004,0.005,,0.0098,0.0098,0.01,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl Vinyl Ketone,MVK_C4H6O,0.058,0.097,0.309,0.33,0.227,0.227,0.194,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl-n-Propylbenzene,isomer1_C10H14,0.006,0.008,0.009,,0.0044,0.0044,0.018,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl-n-Propylbenzene,isomer2_C10H14,0.005,0.007,0.008,,0.0037,0.0037,0.015,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylbenzofuran,isomer4_C9H8O,0,0,0,,0.00085,0.00085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylbenzofuran_i1,isomer1_C9H8O,0.008,0.011,0.013,,0.0121,0.0121,0.027,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylbenzofuran_i2,isomer2_C9H8O,0.014,0.02,0.023,,0.019,0.019,0.046,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylbenzofuran_i3,isomer3_C9H8O,0.02,0.028,0.033,,0.0324,0.0324,0.066,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethylButanoate,C5H10O2,0.011,0.015,0.017,,0.0027,0.0027,0.035,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethylCyclopentadiene_i1,isomer1_C6H8,0.006,0.008,0.01,,0.00575,0.00575,0.019,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethylCyclopentadiene_i2,isomer2_C6H8,0.006,0.008,0.01,,0.0054,0.0054,0.019,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethylDiazine_i1,isomer1_C5H6N2,0.009,0.012,0.014,,0.0105,0.0105,0.028,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethylMethacrylate,C5H8O2,0.022,0.03,0.035,,0.0326,0.0326,0.07,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoterpenes,C10H16,0.253,0.351,0.413,0.41,0.146,0.146,0.82,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrcene,C10H16,0.002,0.004,0.004,,0.0102,0.0102,0.058,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Butanal,C4H8O,0.032,0.03,0.035,,0.0226,0.0226,0.048,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Butane,C4H10,0.036,0.076,0.126,0.061,0.0446,0.0446,0.195,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Butylbenzene,C10H14,0.008,0.011,0.012,,0.0066,0.0066,0.025,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Decane,C10H22,0.019,0.012,0.014,,0.0148,0.0148,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Heptane,C7H16,0.008,0.024,0.026,0.014,0.0211,0.0211,0.043,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Hexanal,C6H12O,0.023,0.032,0.038,,0.0163,0.0163,0.075,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Hexane,C6H14,0.012,0.027,0.032,0.021,0.00925,0.00925,0.061,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Octane,C8H18,0.008,0.02,0.023,,0.019,0.019,0.036,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Pentane,C5H12,0.007,0.027,0.055,0.03,0.0172,0.0172,0.095,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
