Units = lb/ton,,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8
Pollutant,Formula,Southeastern Forest,Boreal Forest,Western Forest - Rx,Western Forest - WF,Shrubland,Grassland,Woody RSC,Duff RSC
n-Heptane ,C7H16,0.0160,0.0480,0.0520,0.0700,0.0422,0.0422,0.0860,0.0960
Benzenenitrile ,C7H5N,0.0760,0.1060,0.1240,0.1680,0.1114,0.1114,0.2480,0.2020
Benzaldehyde ,C7H6O,0.3360,0.4660,0.5480,0.7340,0.4860,0.4860,1.0880,1.1660
Ethynyl Benzene ,C8H6,0.0080,0.0100,0.0120,0.0160,0.1052,0.1052,0.1440,0.0860
Styrene ,C8H8,0.0800,0.1180,0.1380,0.1860,0.1762,0.1762,0.1280,0.2340
Ethylbenzene ,C8H10,0.0780,0.0500,0.1120,0.1500,0.0802,0.0802,0.2220,0.2080
"m,p-Xylenes ",C8H10,0.1600,0.1200,0.2880,0.3860,0.1384,0.1384,0.5720,0.3560
o-Xylene ,C8H10,0.0500,0.0540,0.1000,0.1360,0.0760,0.0760,0.1440,0.2020
Octadiene ,C8H14,0.0360,0.0480,0.0580,0.0780,0.0462,0.0462,0.1140,0.1000
1-Octene ,C8H16,0.0440,0.0780,0.0920,0.1220,0.1044,0.1044,0.1320,0.1740
n-Octane ,C8H18,0.0160,0.0400,0.0460,0.0620,0.0380,0.0380,0.0720,0.0780
Benzofuran ,C8H6O,0.1660,0.2300,0.2700,0.3620,0.2060,0.2060,0.5360,1.8160
Indene ,C9H8,0.0240,0.0340,0.0400,0.0540,0.0610,0.0610,0.0800,0.1020
Indane ,C9H10,0.0080,0.0120,0.0140,0.0180,0.0174,0.0174,0.0260,0.0200
1-Propenylbenzene ,C9H10,0.0020,0.0040,0.0040,0.0060,0.0092,0.0092,0.0100,0.0020
alpha-Methylstyrene ,C9H10,0.0040,0.0060,0.0060,0.0080,0.0094,0.0094,0.0140,0.0080
3-Methylstyrene ,C9H10,0.0200,0.0300,0.0340,0.0460,0.0400,0.0400,0.0680,0.0680
2-Methylstyrene ,C9H10,0.0120,0.0180,0.0200,0.0260,0.0270,0.0270,0.0400,0.0380
2-Propenylbenzene ,C9H10,0.0080,0.0100,0.0120,0.0160,0.0119,0.0119,0.0240,0.0180
4-Methylstyrene ,C9H10,0.0100,0.0160,0.0180,0.0240,0.0124,0.0124,0.0360,0.0260
"1-Ethyl-3-,4-Methylbenzene ",C9H12,0.0420,0.0580,0.0660,0.0900,0.0326,0.0326,0.1340,0.0860
"1,2,4-Trimethylbenzene ",C9H12,0.1420,0.0300,0.0720,0.0960,0.0332,0.0332,0.2480,0.1120
1-Ethyl-2-Methylbenzene ,C9H12,0.0120,0.0180,0.0200,0.0280,0.0222,0.0222,0.0400,0.0240
"1,2,3-Trimethylbenzene ",C9H12,0.0940,0.0500,0.0660,0.0880,0.0366,0.0366,0.3340,0.0580
Isopropylbenzene ,C9H12,0.0020,0.0100,0.0120,0.0160,0.0122,0.0122,0.0120,0.0120
n-Propylbenzene ,C9H12,0.0100,0.0180,0.0200,0.0280,0.0192,0.0192,0.0620,0.0240
"1,3,5-Trimethylbenzene ",C9H12,0.0400,0.0060,0.0300,0.0400,0.0286,0.0286,0.0500,0.0420
Nonadiene ,C9H16,0.0040,0.0060,0.0060,0.0080,0.0041,0.0041,0.0140,0.0000
1-Nonene ,C9H18,0.0160,0.0220,0.0260,0.0340,0.0206,0.0206,0.0500,0.0460
Nonane ,C9H20,0.0380,0.0240,0.0280,0.0380,0.0260,0.0260,0.0680,0.0460
Methylbenzofuran_i1 ,isomer1_C9H8O,0.0160,0.0220,0.0260,0.0360,0.0242,0.0242,0.0540,0.0480
Methylbenzofuran_i2,isomer2_C9H8O,0.0280,0.0400,0.0460,0.0620,0.0380,0.0380,0.0920,0.0760
Methylbenzofuran_i3,isomer3_C9H8O,0.0400,0.0560,0.0660,0.0880,0.0648,0.0648,0.1320,0.1040
Naphthalene ,C10H8,0.3980,0.5540,0.6500,0.8700,0.3460,0.3460,1.2900,1.6300
1_3-MethylIndene ,C10H10,0.0000,0.0000,0.0000,0.0000,0.0029,0.0029,0.0000,0.0040
1_2-Dihydronaphthalene ,C10H10,0.0080,0.0120,0.0140,0.0180,0.0137,0.0137,0.0280,0.0120
1_3-Dihydronaphthalene ,C10H10,0.0100,0.0140,0.0160,0.0200,0.0148,0.0148,0.0300,0.0140
1-Butenylbenzene ,C10H14,0.0040,0.0040,0.0060,0.0080,0.0050,0.0050,0.0100,0.0040
Methylbenzofuran ,isomer4_C9H8O,0.0000,0.0000,0.0000,0.0000,0.0017,0.0017,0.0000,0.0000
Ethylstyrene ,C10H12,0.0040,0.0060,0.0080,0.0100,0.0087,0.0087,0.0160,0.0040
1-Methyl-1-Propenylbenzene ,C10H12,0.0180,0.0260,0.0300,0.0400,0.0642,0.0642,0.0600,0.0100
