GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/14/2014
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
20,FB_0020_FCCS.xml,145,260.000000,1.509354,2.130345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.486319,0.012915,70.000000,90.000000,0.050000,0.300000,80.000000,80.000000,0.050000,0.100000,0.500000,1.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,0.000000,0.000000,0.500000,0.436500,0.100000,0.001500,0.100000,0.007500,0.000000,0.000000,3.000000,0.500000,2.700000,0.500000,1.200000,0.000000,0.000000,0.000000,16.844736,5,5
21,FB_0021_FCCS.xml,125,240.000000,0.632491,0.000000,0.000000,0.000152,0.000000,0.081711,4.918561,5.700468,0.002190,0.000000,99.000000,0.000000,0.020000,0.000000,70.000000,0.000000,0.200000,1.000000,2.500000,8.000000,0.500000,0.000000,0.700000,0.200000,0.000000,0.005635,0.018378,0.000000,0.500000,0.748250,0.100000,0.000500,0.200000,0.003000,0.000788,0.000000,0.000000,0.500000,4.500000,0.500000,2.000000,0.032159,0.000000,0.000000,31.050083,8,3
22,FB_0022_FCCS.xml,125,240.000000,4.125567,0.000000,0.000000,0.002948,0.000000,0.136373,0.088951,0.088951,0.001096,0.000000,99.000000,0.000000,0.200000,0.000000,70.000000,0.000000,0.400000,2.200000,2.800000,8.300000,0.700000,0.500000,0.800000,0.500000,0.500000,0.005635,0.018378,0.000000,0.500000,0.744750,0.100000,0.000500,0.200000,0.006000,0.000000,0.000000,0.040000,1.000000,9.000000,1.000000,4.000000,0.032159,0.000000,0.000000,30.929369,8,3
23,FB_0023_FCCS.xml,125,240.000000,3.780573,0.000000,0.005021,1.136673,0.000000,38.301971,24.983027,3.632168,0.945794,0.000000,75.000000,0.000000,0.170000,0.000000,70.000000,0.000000,0.200000,1.100000,1.600000,9.700001,8.700001,1.000000,3.300000,2.300000,1.000000,0.005635,0.003676,0.000000,0.500000,0.741250,0.100000,0.000500,0.200000,0.015000,0.005364,0.000000,0.040000,0.500000,4.500000,0.500000,2.000000,0.202788,0.000000,0.000000,67.281883,8,3
24,FB_0024_FCCS.xml,151,240.000000,3.679948,1.868724,0.172498,0.018642,0.000000,3.054327,0.723646,1.148645,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,75.000000,0.000000,0.100000,0.200000,0.750000,2.000000,0.800000,0.000000,1.800000,0.200000,0.500000,0.032140,0.459454,1.250737,0.700000,1.779750,0.000000,0.000000,0.200000,0.004500,0.005719,0.000000,3.000000,0.100000,1.760000,0.500000,3.200000,0.000000,0.000000,0.000000,20.233232,8,3
25,FB_0025_FCCS.xml,146,340.000000,6.784331,1.536307,1.372506,0.014914,0.000000,5.126131,16.413973,0.000000,0.617751,0.000000,80.000000,0.000000,0.040000,0.010000,60.000000,60.000000,0.300000,0.500000,1.200000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.474400,0.000000,0.000000,0.000000,0.000000,0.026005,0.000000,3.000000,0.700000,5.040000,0.400000,1.280000,0.000000,0.000000,0.000000,30.917042,5,5
26,FB_0026_FCCS.xml,144,340.000000,0.782349,4.614311,0.205272,0.000000,0.000000,0.000000,0.303295,3.464819,3.327381,0.087491,85.000000,90.000000,0.070000,0.010000,95.000000,85.000000,0.000000,0.100000,0.400000,0.300000,2.900000,9.400001,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,1.800000,0.000000,0.000000,0.000000,0.000000,0.002158,0.000000,0.500000,0.200000,2.700000,0.300000,1.800000,0.000000,0.000000,0.000000,27.565145,8,3
27,FB_0027_FCCS.xml,144,340.000000,1.552478,1.783325,0.166862,0.007077,0.000000,1.889444,0.772145,0.617716,0.473233,0.000000,85.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.200000,0.300000,1.000000,2.000000,0.000000,0.000000,1.000000,2.000000,6.000000,0.000000,0.059014,0.000000,0.500000,0.590000,0.000000,0.000000,0.000000,0.000000,0.000210,0.000000,3.000000,0.100000,0.540000,0.200000,0.480000,0.007819,0.000000,0.000000,21.047215,8,3
28,FB_0028_FCCS.xml,10,310.000000,0.754677,1.078110,0.000000,0.000000,0.000000,0.000000,7.351327,0.000000,0.229341,0.000000,90.000000,0.000000,0.800000,0.000000,90.000000,0.000000,0.050000,0.100000,0.200000,0.300000,0.500000,0.000000,0.500000,1.000000,2.000000,0.175928,0.000000,0.000000,0.500000,1.192500,0.000000,0.000000,0.000000,0.000000,0.000478,0.000000,0.000000,0.200000,2.520000,0.200000,1.120000,0.000000,0.000000,0.000000,19.539576,8,8
29,FB_0029_FCCS.xml,113,310.000000,10.349855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.744322,3.327381,0.087491,85.000000,95.000000,0.100000,0.100000,95.000000,85.000000,1.000000,1.500000,2.000000,6.000000,12.000001,0.000000,5.000000,11.000001,0.000000,0.309256,0.216421,0.000000,0.200000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,12.600000,0.400000,2.240000,0.078119,0.000000,0.000000,58.722996,8,4
30,FB_0030_FCCS.xml,221,310.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.440228,0.000000,100.000000,0.000000,0.100000,0.000000,80.000000,0.000000,0.100000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.755000,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.000000,0.100000,0.450000,0.100000,0.200000,0.000000,0.000000,0.000000,6.352728,7,7
32,FB_0032_FCCS.xml,144,310.000000,0.431244,5.692420,2.046286,0.000000,0.000000,0.000000,0.711608,0.000000,0.034588,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.900000,1.300000,1.400000,0.000000,0.000000,0.400000,0.500000,5.900000,0.000000,0.000000,0.000000,0.800000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000571,0.000000,3.000000,0.200000,1.260000,0.400000,1.280000,0.000000,0.000000,0.000000,17.746767,8,3
33,FB_0033_FCCS.xml,209,310.000000,0.359370,1.617165,0.000000,0.000000,0.020159,0.000000,0.008577,0.006126,0.828233,0.000000,80.000000,0.000000,0.230000,0.000000,60.000000,0.000000,0.200000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001058,0.000901,0.000000,1.400000,1.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.080000,0.200000,0.640000,0.000000,0.000000,0.000000,5.554895,7,7
34,FB_0034_FCCS.xml,118,310.000000,0.905612,0.000000,3.429533,0.050975,0.215984,8.503163,5.073029,4.227524,2.223051,0.000000,80.000000,0.000000,0.200000,0.000000,70.000000,0.000000,0.100000,1.500000,4.000000,2.000000,3.000000,5.000000,1.800000,1.700000,0.000000,0.048302,0.029405,0.000000,0.600000,1.332000,0.000000,0.000000,0.000000,0.000000,0.000592,0.000000,3.000000,0.500000,6.750000,0.500000,3.000000,0.002477,0.000000,0.000000,45.037354,8,1
36,FB_0036_FCCS.xml,11,260.000000,1.208790,0.000000,0.000000,0.000000,0.754309,0.000000,0.306305,0.306305,3.220902,0.000000,70.000000,0.000000,0.400000,0.000000,50.000000,0.000000,0.500000,0.500000,1.000000,1.000000,1.000000,0.200000,0.200000,0.200000,0.200000,0.056573,0.011486,0.000000,0.500000,0.537500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,2.700000,0.500000,1.600000,0.008986,0.000000,0.000000,13.948057,9,9
37,FB_0037_FCCS.xml,144,260.000000,7.400146,1.043610,0.178535,0.042664,0.000000,3.420409,6.126106,3.675663,0.491100,2.604000,85.000000,90.000000,0.300000,0.010000,50.000000,60.000000,0.100000,1.000000,1.500000,1.200000,2.500000,0.000000,0.600000,2.500000,0.000000,0.000000,0.000000,0.000000,0.300000,0.759645,0.000000,0.000000,0.300000,0.002250,0.000455,0.000000,3.000000,1.000000,15.300000,1.000000,6.800000,0.000000,0.000000,0.000000,50.011883,8,3
38,FB_0038_FCCS.xml,141,240.000000,4.829932,10.161677,3.810628,0.000000,0.000000,0.000000,13.676684,0.000000,1.245000,0.021900,95.000000,95.000000,0.200000,0.000000,80.000000,0.000000,1.000000,2.000000,2.000000,3.000000,3.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,1.800000,0.700000,5.600000,0.000000,0.000000,0.000000,46.553589,8,1
39,FB_0039_FCCS.xml,150,260.000000,4.657436,12.450875,2.593344,0.011955,0.803499,0.795216,0.459458,0.459458,0.317759,0.000000,60.000000,0.000000,0.100000,0.000000,50.000000,0.000000,0.400000,2.100000,1.100000,2.600000,1.500000,0.000000,0.700000,0.400000,0.000000,0.000000,0.125074,0.000000,0.800000,1.920640,0.000000,0.000000,0.300000,0.004500,0.000000,0.000000,3.000000,0.400000,5.760000,0.400000,2.560000,0.037868,0.000000,0.000000,23.556711,8,4
40,FB_0040_FCCS.xml,223,310.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.088266,0.000000,80.000000,0.000000,0.080000,0.000000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168266,7,7
41,FB_0041_FCCS.xml,1,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.100000,90.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.115000,0.000000,0.000000,0.100000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.825000,13,13
42,FB_0042_FCCS.xml,124,240.000000,6.679839,0.000000,0.608479,0.012489,9.285152,0.494001,0.377457,0.269612,0.010000,0.010950,2.000000,90.000000,0.300000,0.100000,90.000000,90.000000,0.300000,0.700000,1.800000,9.000000,0.600000,0.000000,5.000000,0.000000,0.000000,0.071089,0.010006,0.000000,0.500000,0.690000,0.000000,0.000000,1.000000,0.007500,0.000000,0.000000,0.000000,1.000000,9.900001,0.300000,1.320000,0.000000,0.000000,0.000000,30.479105,9,9
43,FB_0043_FCCS.xml,148,310.000000,1.798156,0.000000,1.814361,0.000000,1.508619,0.000000,0.520719,0.459458,0.964925,0.000000,95.000000,0.000000,0.100000,0.400000,85.000000,85.000000,0.100000,0.400000,0.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050287,0.000000,0.000000,0.300000,0.357000,0.000000,0.000000,1.000000,0.015000,0.000000,0.000000,3.000000,0.200000,1.440000,0.200000,0.640000,0.233521,0.000000,0.000000,10.480909,9,9
44,FB_0044_FCCS.xml,162,260.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.821751,0.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.600000,0.000000,0.000000,0.000000,16.071751,7,7
45,FB_0045_FCCS.xml,148,310.000000,1.281971,0.880914,0.671695,0.000000,0.000000,0.000000,2.965035,2.965035,1.766587,0.000000,95.000000,0.000000,0.100000,0.000000,80.000000,0.000000,0.400000,1.000000,1.000000,4.000000,1.000000,0.000000,3.000000,0.500000,0.000000,0.042072,0.000000,0.000000,1.500000,2.227500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.500000,2.700000,0.500000,1.200000,0.068261,0.000000,0.000000,27.934494,9,9
46,FB_0046_FCCS.xml,161,260.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.061473,0.172292,85.000000,85.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,2.160000,0.200000,0.960000,0.000000,0.000000,0.000000,18.153765,7,7
47,FB_0047_FCCS.xml,139,260.000000,4.226191,9.049590,1.795674,0.019419,4.534366,16.713274,11.762122,11.762122,2.846700,0.000000,70.000000,0.000000,0.500000,0.000000,70.000000,0.000000,0.400000,2.000000,3.000000,8.000000,12.000001,8.000000,6.000000,8.000000,6.000000,0.219255,5.002946,0.000000,1.000000,2.400800,0.100000,0.000050,1.700000,0.051000,0.001730,0.000000,0.000000,2.000000,35.199997,2.500000,16.000000,0.097134,0.000000,0.000000,140.763275,8,1
48,FB_0048_FCCS.xml,141,260.000000,9.879407,8.977715,2.806484,0.000000,8.246680,0.000000,3.445935,1.722967,4.240741,1.820617,90.000000,90.000000,0.100000,0.000000,80.000000,0.000000,0.500000,1.000000,2.000000,2.000000,1.500000,1.500000,2.000000,2.000000,4.000000,0.070685,0.103377,0.000000,1.000000,3.070000,0.500000,0.012500,0.500000,0.150000,0.000000,0.000000,3.000000,0.500000,9.000000,1.000000,8.000000,0.114132,0.000000,0.000000,51.350956,8,1
49,FB_0049_FCCS.xml,166,320.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.080024,0.000000,45.000000,0.000000,0.100000,0.000000,70.000000,0.000000,0.100000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.052850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.532874,7,7
51,FB_0051_FCCS.xml,160,260.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.024640,6.195834,70.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,8.370001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.790474,7,7
52,FB_0052_FCCS.xml,118,240.000000,1.816831,10.595665,1.109735,0.011597,0.000000,1.859860,1.103817,2.649868,0.385008,0.111341,89.000000,95.000000,0.200000,0.010000,70.000000,80.000000,0.400000,0.900000,0.400000,0.400000,1.100000,0.600000,0.400000,2.400000,0.000000,0.215656,0.245042,0.000000,0.700000,1.876140,0.100000,0.005200,0.200000,0.040800,0.000255,0.000000,3.000000,0.800000,12.240001,0.300000,2.040000,0.000000,0.000000,0.000000,30.734726,8,1
53,FB_0053_FCCS.xml,10,330.000000,9.217841,0.000000,0.295013,0.122887,0.000000,4.638758,1.960354,0.431380,0.000000,0.000000,0.000000,0.000000,0.050000,0.010000,50.000000,50.000000,0.100000,1.500000,1.500000,8.000000,3.000000,0.000000,3.000000,1.500000,0.000000,0.038713,0.025883,0.000000,0.600000,1.520310,0.200000,0.001500,0.400000,0.126000,0.082158,0.000000,3.000000,1.000000,15.300000,0.500000,3.400000,0.036074,0.000000,0.000000,44.705261,8,8
