Region,VegType,Phase,Pollutant,EF,SD,n,citeShort,notes
W,grassland,FireAvg,SO2,1.25678,1.009477509,5,"McMeeking et al., 2009, Selimovic et al., 2018",Combined SE and W grass EF data for W because only 1 W Lab datapoint.
W,mixed forest,F,CH4,3.344224877,1.447703558,62,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,F,CO,82.11520217,20.20160071,62,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,F,CO2,1662.509654,49.6723348,62,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,F,NH3,1.09,0.197989899,2,"Burling et al., 2011",conifer forest and mixed forest are combined
W,mixed forest,F,NOx,1.71,1.31,4,"Burling et al., 2011, Liu et al., 2017",conifer forest and mixed forest are combined
W,mixed forest,F,PM25,12.71291673,5.571357609,45,"Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,F,SO2,1.316530204,0.560985344,49,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,CH4,5.478204434,2.31483695,170,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,CO,118.4710871,35.85846485,170,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,CO2,1605.017108,64.79467692,170,"Babbitt et al., 1994, Burling et al., 2011, Hegg et al., 1989, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,NH3,1.324,0.59078761,5,"Burling et al., 2011, Hegg et al., 1989",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,NOx,1.5,1.25,6,"Burling et al., 2011, Liu et al., 2017",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,PM25,13.87199347,6.281091004,101,"Aurell et al., 2021, Babbitt et al., 1994, Burling et al., 2011, Urbanski et al., 2009, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,FireAvg,SO2,1.340479808,0.622438751,52,"Burling et al., 2010, Liu et al., 2017, McMeeking et al., 2009, Selimovic et al., 2018",conifer forest and mixed forest are combined
W,mixed forest,S,CH4,6.776913315,1.696453169,106,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,S,CO,140.1315309,23.84586885,106,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,S,CO2,1570.889715,46.71696661,106,"Babbitt et al., 1994, Burling et al., 2011, Liu et al., 2017, Urbanski et al., 2009, Urbanski, 2013, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,S,NH3,1.84,,1,"Burling et al., 2011",conifer forest and mixed forest are combined
W,mixed forest,S,NOx,1.08,1.43,2,"Burling et al., 2011, Liu et al., 2017",conifer forest and mixed forest are combined
W,mixed forest,S,PM25,14.80339442,6.701985068,56,"Aurell et al., 2021, Burling et al., 2011, Urbanski et al., 2009, Ward and Susott, 1993",conifer forest and mixed forest are combined
W,mixed forest,S,SO2,1.731656667,1.443251122,3,"Liu et al., 2017, Selimovic et al., 2018",conifer forest and mixed forest are combined
W,shrubland,FireAvg,CH4,3.72,1.4,13,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,CO,77.33,18.49,13,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,CO2,1623.23,93.47,13,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,NH3,1.55,1.18,9,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,NOx,1.97,1.2,8,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,PM25,11.09,5.53,10,"Burling et al., 2011, Nance et al., 1993, Gkatzelis et al., 2023, Pemar et al., 2020, Lindaas et al., 2020, Garofalo et al., 2019, Hardy et al., 1996",NA
W,shrubland,FireAvg,SO2,0.731158889,0.280044832,27,"Burling et al., 2010, McMeeking et al., 2009, Selimovic et al., 2018",NA
