Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
2-Methylbutanal ,C5H10O,0.026,0.036,0.056,,,0.042,0.042,0.083,0.092,0.092
3-Methyl-2-Butanone ,C5H10O,0.011,0.023,0.036,,,0.023,0.023,0.062,0.039,0.039
2-Pentanone ,C5H10O,0.022,0.031,0.049,,,0.052,0.052,0.072,0.097,0.097
3-Pentanone ,C5H10O,0.018,0.026,0.040,,,0.030,0.030,0.06,0.065,0.065
Methyl Diazine ,"isomer1,C5H6N2",0.009,0.012,0.019,,,0.011,0.011,0.028,0.044,0.044
Methyl Diazine ,"isomer2,C5H6N2",0.004,0.005,0.008,,,0.009,0.009,0.011,0.009,0.009
Methyl Diazine ,"isomer3,C5H6N2",0.002,0.003,0.004,,,0.002,0.002,0.006,0,0
3-Furaldehyde ,C5H4O2,0.013,0.019,0.029,,,0.012,0.012,0.043,0.059,0.059
2-Furaldehyde ,C5H4O2,0.067,0.450,0.707,,,0.279,0.279,0.067,0.647,0.647
Cyclopentenedione ,C5H4O2,0.007,0.010,0.016,,,0.007,0.007,0.023,0.019,0.019
Methyl Methacrylate ,C5H8O2,0.022,0.030,0.047,,,0.033,0.033,0.07,0.076,0.076
Methyl Butanoate ,C5H10O2,0.011,0.015,0.023,,,0.003,0.003,0.035,0.004,0.004
Benzene ,C6H6,0.283,0.550,0.402,,,0.451,0.451,0.803,0.586,0.586
Divinylacetylene ,C6H6,0.002,0.002,0.003,,,0.007,0.007,0.005,0.016,0.016
Methyl Cyclopentadiene ,"isomer 1,C6H8",0.006,0.008,0.013,,,0.006,0.006,0.019,0.028,0.028
Methyl Cyclopentadiene ,"isomer 2,C6H8",0.006,0.008,0.013,,,0.005,0.005,0.019,0.031,0.031
Hexenyne ,C6H8,0.002,0.003,0.005,,,0.006,0.006,0.008,0.021,0.021
"cis-1,3-Hexadiene ",C6H10,0.001,0.002,0.003,,,0.002,0.002,0.004,0.004,0.004
"trans-1,3-Hexadiene ",C6H10,0.004,0.005,0.008,,,0.004,0.004,0.012,0.008,0.008
1-Methylcyclopentene ,C6H10,0.003,0.004,0.006,,,0.012,0.012,0.009,0.019,0.019
Cyclohexene ,C6H10,0.009,0.013,0.021,,,0.012,0.012,0.031,0.015,0.015
